symbol,name
BTC,Bitcoin
LTC,Litecoin
NMC,Namecoin
TRC,Terracoin
PPC,Peercoin
NVC,Novacoin
FTC,Feathercoin
FRC,Freicoin
IXC,Ixcoin
WDC,WorldCoin
DGC,Digitalcoin
GLC,Goldcoin
PXC,Phoenixcoin
MEC,Megacoin
IFC,Infinitecoin
XPM,Primecoin
ANC,Anoncoin
CSC,CasinoCoin
EMD,Emerald Crypto
XRP,XRP
QRK,Quark
ZET,Zetacoin
TAG,TagCoin
PIN,Public Index Network
NXT,Nxt
UNO,Unobtanium
DTC,Datacoin
DEM,Deutsche eMark
DOGE,Dogecoin
DMD,Diamond
HBN,HoboNickels
ORB,Orbitcoin
OMNI,Omni
TIPS,FedoraCoin
DIME,Dimecoin
42,42-coin
VTC,Vertcoin
DGB,DigiByte
SMC,SmartCoin (SMC)
RDD,ReddCoin
POT,PotCoin
BLC,Blakecoin
MAX,Maxcoin
DASH,Dash
XCP,Counterparty
MINT,MintCoin
DOPE,DopeCoin
AUR,Auroracoin
PTD,Peseta Digital
MARS,Marscoin
MIM,Magic Internet Money
UFO,Uniform Fiscal Object
BLK,BlackCoin
PHO,Photon
XMY,Myriad
NOTE,DNotes
EMC2,Einsteinium
ECC,ECC
MONA,MonaCoin
RBY,Rubycoin
BELA,Bela
FAIR,FairCoin
EFL,e-Gulden
NLG,Gulden
GRS,Groestlcoin
XPD,PetroDollar
PLNC,PLNcoin
XWC,WhiteCoin
BITS,Bitstar
QBC,Quebecoin
BLU,BlueCoin
MAID,MaidSafeCoin
XBC,Bitcoin Plus
NYC,NewYorkCoin
PINK,Pinkcoin
DRM,Dreamcoin
ENRG,Energycoin
VRC,VeriCoin
XMR,Monero
LCP,Litecoin Plus
CURE,Curecoin
SUPER,SuperCoin
MOTO,Motocoin
CLOAK,CloakCoin
BSD,BitSend
C2,Coin2.1
BCN,Bytecoin
NAV,Navcoin
START,Startcoin
XDN,DigitalNote
BBR,Boolberry
THC,HempCoin
XST,Stealth
CLAM,Clams
BTS,BitShares
VIA,Viacoin
IOC,I/O Coin
XCN,Cryptonite
CARBON,Carboncoin
CANN,CannabisCoin
XLM,Stellar
SYS,Syscoin
DONU,Donu
EMC,Emercoin
RBBT,RabbitCoin
GAME,GameCredits
N8V,NativeCoin
UBQ,Ubiq
OPAL,Opal
ACOIN,Acoin
BITCNY,bitCNY
USNBT,NuBits
EXCL,ExclusiveCoin
TROLL,Trollcoin
BSTY,GlobalBoost-Y
PXI,Prime-XI
BITS,Bitswift
XVG,Verge
NSR,NuShares
SPR,SpreadCoin
RBT,Rimbit
MUE,MonetaryUnit
BLOCK,Blocknet
VIP,Limitless VIP
CRW,Crown
GCN,GCN Coin
XQN,Quotient
OK,OKCash
XPY,PayCoin
COVAL,Circuits of Value
NXS,Nexus
SMLY,SmileyCoin
KOBO,Kobocoin
BITB,Bean Cash
GEO,GeoCoin
USDT,Tether
WBB,Wild Beast Block
GRC,Gridcoin
XCO,X-Coin
SONG,SongCoin
LOG,Woodcoin
XEM,NEM
NTRN,Neutron
XAUR,Xaurum
CF,Californium
AIB,Advanced Internet Blocks
SPHR,Sphere
MEDIC,MedicCoin
BUB,Bubble
UNIT,Universal Currency
PKB,ParkByte
ARB,ARbit
BTA,Bata
ADC,AudioCoin
SNRG,Synergy
FJC,FujiCoin
GXX,GravityCoin
XRA,Ratecoin
CREVA,CrevaCoin
ZNY,Bitzeny
BSC,BowsCoin
HNC,HNC COIN
MANNA,Manna
AXIOM,Axiom
AEON,Aeon
ETH,Ethereum
TX,TransferCoin
GCC,GuccioneCoin
AMS,AmsterdamCoin
AGRS,Agoras
EUC,Eurocoin
SC,Siacoin
GCR,Global Currency Reserve
VEC2,VectorAI
BOLI,Bolivarcoin
PAK,Pakcoin
EXP,Expanse
SIB,SIBCoin
SWING,Swing
FCT,Factom
DUO,ParallelCoin
SANDG,Save and Gain
REP,Augur
SHND,StrongHands
PAC,PAC Protocol
DFT,DraftCoin
CLUB,ClubCoin
ADZ,Adzcoin
AV,AvatarCoin
VAL,Validity
LTCR,Litecred
YOC,Yocoin
SLS,SaluS
FRN,Francs
EVIL,Evil Coin
DCR,Decred
PIVX,PIVX
SFT,Safex Token
RBIES,Rubies
TRUMP,TrumpCoin
MEME,Memetic / PepeCoin
IMS,Independent Money System
NEVA,NevaCoin
PEX,PosEx
CAB,Cabbage
MOJO,MojoCoin
LSK,Lisk
EDRC,EDRCoin
POST,PostCoin
BERN,BERNcash
DGD,DigixDAO
STEEM,Steem
FUZZ,FuzzBalls
XHI,HiCoin
ARCO,AquariusCoin
XBTC21,Bitcoin 21
ZUR,Zurcoin
2GIVE,2GIVE
XPTX,PlatinumBAR
LANA,LanaCoin
PONZI,PonziCoin
MXT,MarteXcoin
CTL,Citadel
WAVES,Waves
PWR,PWR Coin
ION,ION
HVCO,High Voltage
GB,GoldBlocks
CMT,Comet
RISE,Rise
CHESS,ChessCoin
LBC,LBRY Credits
PUT,PutinCoin
CJ,Cryptojacks
HEAT,HEAT
SBD,Steem Dollars
ARDR,Ardor
ETC,Ethereum Classic
KRB,Karbo
STRAX,Stratis
ACES,Aces
TAJ,TajCoin
VLT,Veltor
NEO,Neo
BTDX,Bitcloud
NLC2,NoLimitCoin
ZYD,Zayedcoin
PLU,Pluton
DLC,Dollarcoin
MST,MustangCoin
PROUD,PROUD Money
PEPECASH,Pepe Cash
FIRO,Firo
ARC,Advanced Technology Coin
ZEC,Zcash
ASAFE,AllSafe
ZCL,ZClassic
LKK,Lykke
GLM,Golem
IOP,Internet of People
HUSH,Hush
KURT,Kurrent
PASC,Pascal
ENT,Eternity
GBYTE,Obyte
POSW,PoSW Coin
LUNA,Luna Coin
WINGS,Wings
JUP,Jupiter
IFLT,InflationCoin
ALIAS,Alias
VIDZ,PureVidz
ICOB,ICOBID
IBANK,iBank
MKR,Maker
KMD,Komodo
FRST,FirstCoin
WCT,Waves Community Token
ICON,Iconic
GCC,Global Cryptocurrency
CNT,Centurion
MLN,Enzyme
TIME,Chrono.tech
ARGUS,Argus
SWT,Swarm City
NANO,Nano
ZER,Zero
NETKO,Netko
ARK,Ark
DYN,Dynamic
TKS,Tokes
MER,Mercury
EDG,Edgeless
XLR,Solaris
XAS,Asch
SKY,Skycoin
BLAZR,BlazerCoin
ATMOS,Atmos
ZENI,Zennies
CXT,Coinonat
CONX,Concoin
XBY,XTRABYTES
RLC,iExec RLC
TRST,WeTrust
SCS,SpeedCash
BTX,BitCore
VOLT,Bitvolt
LUN,Lunyr
GNO,Gnosis
TKN,Monolith
HMQ,Humaniq
MNE,Minereum
CNNC,Cannation
CREA,CREA
INSN,InsaneCoin
ANT,Aragon
PZM,PRIZM
QTUM,Qtum
DMB,Digital Money Bits
MAY,Theresa May Coin
SUMO,Sumokoin
BAT,Basic Attention Token
ZEN,Horizen
AE,Aeternity
SCOOT,ScooterCoin
ETP,Metaverse ETP
EBST,eBoost
ADK,Aidos Kuneen
PTOY,Patientory
VERI,Veritaseum
ECA,Electra
QRL,Quantum Resistant Ledger
MGO,MobileGo
PPY,Peerplays
MIOTA,IOTA
MYST,Mysterium
MORE,More Coin
ADL,Adelphoi
ZRC,ZrCoin
BNT,Bancor
GLT,GlobalToken
NMR,Numeraire
UNIFY,Unify
DCY,Dinastycoin
ONX,Onix
GXC,GXChain
ATCC,ATC Coin
BRO,Bitradio
FLASH,Flash
FUN,FUNToken
PAY,TenX
SNT,Status
ERG,Ergo
EOS,EOS
ADX,Ambire AdEx
D,Denarius
STORJ,Storj
SOCC,SocialCoin
MCO,MCO
WGR,Wagerr
PLBT,Polybius
GAS,Gas
SNC,SunContract
JET,Jetcoin
MTL,Metal
PPT,Populous
RUP,Rupee
PCN,PeepCoin
SAN,Santiment Network Token
OMG,OMG Network
CVN,CVCoin
MRX,Metrix Coin
CVC,Civic
VGX,Voyager Token
COAL,BitCoal
PART,Particl
SMART,SmartCash
SKIN,SkinCoin
BCH,Bitcoin Cash
PLR,Pillar
OCT,OracleChain
BNB,Binance Coin
IXT,IXT
GSR,GeyserCoin
CRM,Cream
OAX,OAX
DNT,district0x
STX,Stox
BTM,Bytom
TIX,Blocktix
DCN,Dentacoin
SHDW,Shadow Token
ONION,DeepOnion
ADS,Adshares
DENT,Dent
IFT,InvestFeed
TCC,The ChampCoin
ZRX,0x
YOYOW,YOYOW
MYB,MyBit
HC,HyperCash
TFL,TFL.io
NAS,Nebulas
BBP,BiblePay
ACT,Achain
WTC,Waltonchain
PST,Primas
OPT,Opus
LRC,Loopring
LTCU,LiteCoin Ultra
POE,Po.et
MTH,Monetha
AVT,Aventus
DLT,Agrello
HVN,Hiveterminal Token
MDA,Moeda Loyalty Points
